dataset,variant,selector,best_accuracy,mean_accuracy,mean_balanced_accuracy,mean_joint_mi,min_joint_mi,mean_attacker_ba,min_attacker_ba,mean_dpd,mean_eod,mean_eodds
adult,original,ProxyRank_lambda1.0,0.8366666666666667,0.8291111111111111,0.7334000267425895,0.7552194035599147,0.7552194035599147,0.6698456674304785,0.6698456674304785,0.18014382017687433,0.20241533210816484,0.20241533210816484
adult,original,ProxyRank_lambda2.0,0.8233333333333334,0.810888888888889,0.6635839309649835,0.7164172116517342,0.7164172116517342,0.5039421472426926,0.5039421472426926,0.04470694376801412,0.05908812461713486,0.05908812461713486
adult,original,SubsetFACMIM_lambda0.0,0.8473333333333334,0.8395555555555556,0.7450534362596901,0.898943700437556,0.898943700437556,0.8392102930961526,0.8392102930961525,0.1654836898232055,0.1630874245208716,0.17441342307130805
adult,original,SubsetFACMIM_lambda0.5,0.8206666666666667,0.8124444444444444,0.7109484813796567,0.7857500671430095,0.7857500671430095,0.7415707909843592,0.7415707909843592,0.18214383614506569,0.23665003938041482,0.23665003938041482
adult,original,SubsetFACMIM_lambda1.0,0.8366666666666667,0.8302222222222223,0.730614068558868,0.6167411092150097,0.6167411092150097,0.6320150260680724,0.6320150260680724,0.15914964058262607,0.08964732650739472,0.09490204423532793
adult,original,SubsetFACMIM_lambda2.0,0.826,0.8077777777777778,0.6666544368238935,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.07109477553163558,0.07109477553163558
adult,original,mRMR,0.8313333333333334,0.8284444444444444,0.7272092803308254,0.9071201421085515,0.9071201421085515,0.8243179586264162,0.8243179586264162,0.18409195549132792,0.21953268574428977,0.21953268574428977
adult,remove_entangled_proxies,BasicFACMIM_lambda0.0,0.8093333333333333,0.7982222222222223,0.6690082738962975,0.8548338357466392,0.8548338357466392,0.6619613729450934,0.6619613729450934,0.07450491953362236,0.1394066684169073,0.1394066684169073
adult,remove_entangled_proxies,BasicFACMIM_lambda0.5,0.8246666666666667,0.8079999999999999,0.6818218878311434,0.8606704274147479,0.8606704274147479,0.6599633530008223,0.6599633530008223,0.07117289026925032,0.06817187363262446,0.06817187363262446
adult,remove_entangled_proxies,BasicFACMIM_lambda1.0,0.8233333333333334,0.8119999999999999,0.6620763990124809,0.74228959685151,0.74228959685151,0.5118024894410335,0.5118024894410335,0.04933904994584121,0.05119453924914674,0.05119453924914674
adult,remove_entangled_proxies,BasicFACMIM_lambda2.0,0.8246666666666667,0.8053333333333333,0.6576981152996964,0.6434102247236968,0.6434102247236968,0.5097924933532404,0.5097924933532404,0.04738294650389757,0.060260785858055464,0.060260785858055464
adult,remove_entangled_proxies,CMIM,0.8093333333333333,0.7982222222222223,0.6690082738962975,0.8548338357466392,0.8548338357466392,0.6619613729450934,0.6619613729450934,0.07450491953362236,0.1394066684169073,0.1394066684169073
adult,remove_entangled_proxies,FairCFS_lambda0.0,0.8146666666666667,0.8055555555555555,0.6722263531913367,0.8897868087752201,0.8897868087752201,0.6599573649290613,0.6599573649290613,0.08110111324907453,0.13998424783407717,0.13998424783407717
adult,remove_entangled_proxies,FairCFS_lambda0.5,0.812,0.8042222222222222,0.6713506964487798,0.8879502171071092,0.8879502171071092,0.6639653809611255,0.6639653809611255,0.0771170495040546,0.11492080161022139,0.11492080161022139
adult,remove_entangled_proxies,FairCFS_lambda1.0,0.8166666666666667,0.807111111111111,0.6729283461665151,0.805668098438737,0.805668098438737,0.5510582918825699,0.5510582918825699,0.0741030533843251,0.09498556051457073,0.09498556051457073
adult,remove_entangled_proxies,FairCFS_lambda2.0,0.812,0.8026666666666666,0.6591428673926302,0.7115628992834111,0.7115628992834111,0.5108244377200616,0.5108244377200616,0.05108490553484126,0.1080773606370876,0.11010325375993153
adult,remove_entangled_proxies,FairLasso_lambda0.0,0.7853333333333333,0.7731111111111111,0.6371756238035137,0.7956425608371926,0.7956425608371926,0.6614663590128464,0.6614663590128464,0.06521276284308325,0.14745777544412356,0.14745777544412356
adult,remove_entangled_proxies,FairLasso_lambda0.5,0.7853333333333333,0.7742222222222223,0.638544550871254,0.7956425608371909,0.7956425608371909,0.6614663590128464,0.6614663590128464,0.061884725626551916,0.14346722674367723,0.14346722674367723
adult,remove_entangled_proxies,FairLasso_lambda1.0,0.7886666666666666,0.7811111111111111,0.6325217609669077,0.8276811317778403,0.8276811317778403,0.6445879807423612,0.6445879807423612,0.059426954839293465,0.137253872407456,0.137253872407456
adult,remove_entangled_proxies,FairLasso_lambda2.0,0.7886666666666666,0.7811111111111111,0.6325217609669077,0.8276811317778403,0.8276811317778403,0.6445879807423612,0.6445879807423612,0.059426954839293465,0.137253872407456,0.137253872407456
adult,remove_entangled_proxies,FairmRMR_lambda0.0,0.8113333333333334,0.8048888888888889,0.6695512789154249,0.8871201421085537,0.8871201421085537,0.6624623749491014,0.6624623749491014,0.07243703875213907,0.11948892972783755,0.11948892972783755
adult,remove_entangled_proxies,FairmRMR_lambda0.5,0.8186666666666667,0.8077777777777778,0.6733661745377936,0.8030014317720706,0.8030014317720706,0.5525253694640276,0.5525253694640276,0.0740990613364844,0.10751728362649864,0.10751728362649864
adult,remove_entangled_proxies,FairmRMR_lambda1.0,0.8186666666666667,0.8088888888888889,0.6734566753743149,0.8030014317720688,0.8030014317720688,0.5525253694640276,0.5525253694640276,0.0740870851929623,0.105241970770981,0.105241970770981
adult,remove_entangled_proxies,FairmRMR_lambda2.0,0.8186666666666667,0.8088888888888889,0.6734566753743149,0.8030014317720671,0.8030014317720671,0.5525253694640276,0.5525253694640276,0.0740870851929623,0.105241970770981,0.105241970770981
adult,remove_entangled_proxies,ProxyRank_lambda0.0,0.814,0.799111111111111,0.675025356540683,0.8498273190770878,0.8498273190770878,0.6624623749491014,0.6624623749491014,0.07753887589255536,0.11488579679705957,0.11488579679705957
adult,remove_entangled_proxies,ProxyRank_lambda0.5,0.814,0.8006666666666667,0.6779645954204946,0.8498273190770895,0.8498273190770895,0.6624623749491014,0.6624623749491014,0.07621484669205608,0.12171173536361246,0.12171173536361246
adult,remove_entangled_proxies,ProxyRank_lambda1.0,0.8253333333333334,0.8119999999999999,0.6850880711744237,0.6669760712341315,0.6669760712341315,0.5490542838665379,0.5490542838665379,0.07248494332622749,0.051649601820250246,0.051649601820250246
adult,remove_entangled_proxies,ProxyRank_lambda2.0,0.8233333333333334,0.810888888888889,0.6635839309649835,0.7164172116517342,0.7164172116517342,0.5039421472426926,0.5039421472426926,0.04470694376801412,0.05908812461713486,0.05908812461713486
adult,remove_entangled_proxies,SubsetFACMIM_lambda0.0,0.8093333333333333,0.7982222222222223,0.6690082738962975,0.8548338357466392,0.8548338357466392,0.6619613729450934,0.6619613729450934,0.07450491953362236,0.1394066684169073,0.1394066684169073
adult,remove_entangled_proxies,SubsetFACMIM_lambda0.5,0.826,0.8086666666666668,0.6678774211012076,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.06710422683118927,0.06710422683118927
adult,remove_entangled_proxies,SubsetFACMIM_lambda1.0,0.826,0.807111111111111,0.6658970018948103,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.0544169347992133,0.06995711910387677,0.06995711910387677
adult,remove_entangled_proxies,SubsetFACMIM_lambda2.0,0.826,0.8077777777777778,0.6666544368238935,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.07109477553163558,0.07109477553163558
adult,remove_entangled_proxies,mRMR,0.8113333333333334,0.8048888888888889,0.6695512789154249,0.8871201421085537,0.8871201421085537,0.6624623749491014,0.6624623749491014,0.07243703875213907,0.11948892972783755,0.11948892972783755
