dataset,variant,removed_features,selector,lambda,model,k,selected_features,accuracy,balanced_accuracy,f1,auroc,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,dpd,dpr,equal_opportunity_difference,equalized_odds_difference
adult,original,[],SubsetFACMIM_lambda1.0,1.0,logistic_regression,8,"['age', 'education', 'education-num', 'race', 'native-country', 'capital-gain', 'capital-loss', 'marital-status']",0.832,0.7285855453042296,0.6012658227848101,0.8780758054574449,0.6167411092150097,0.6320150260680724,0.16376977061693104,0.31037033301393585,0.08453662378577054,0.09320155151987276
adult,original,[],SubsetFACMIM_lambda1.0,1.0,random_forest,8,"['age', 'education', 'education-num', 'race', 'native-country', 'capital-gain', 'capital-loss', 'marital-status']",0.822,0.729688677122367,0.5972850678733032,0.8664060894833135,0.6167411092150097,0.6320150260680724,0.15291539253806413,0.39917495372839357,0.07424520871619844,0.08134443416589578
adult,original,[],SubsetFACMIM_lambda1.0,1.0,gradient_boosting,8,"['age', 'education', 'education-num', 'race', 'native-country', 'capital-gain', 'capital-loss', 'marital-status']",0.8366666666666667,0.7335679832500073,0.6104928457869634,0.896183310667358,0.6167411092150097,0.6320150260680724,0.160763758592883,0.31434943984744784,0.1101601470202152,0.1101601470202152
adult,original,[],ProxyRank_lambda2.0,2.0,logistic_regression,8,"['age', 'education', 'education-num', 'capital-gain', 'fnlwgt', 'capital-loss', 'native-country', 'workclass']",0.8073333333333333,0.6423920594076843,0.4474187380497132,0.7860107720455147,0.7164172116517342,0.5039421472426926,0.057545369623709555,0.5548040396553322,0.09855605145707536,0.09855605145707536
adult,original,[],ProxyRank_lambda2.0,2.0,random_forest,8,"['age', 'education', 'education-num', 'capital-gain', 'fnlwgt', 'capital-loss', 'native-country', 'workclass']",0.802,0.6772422193740277,0.513911620294599,0.8067391325617118,0.7164172116517342,0.5039421472426926,0.02596028710808071,0.8536250478312738,0.065686531898136,0.065686531898136
adult,original,[],ProxyRank_lambda2.0,2.0,gradient_boosting,8,"['age', 'education', 'education-num', 'capital-gain', 'fnlwgt', 'capital-loss', 'native-country', 'workclass']",0.8233333333333334,0.6711175141132385,0.5065176908752328,0.8301776262364371,0.7164172116517342,0.5039421472426926,0.05061517457225208,0.6285739395359737,0.01302179049619323,0.01302179049619323
adult,original,[],FairmRMR_lambda2.0,2.0,logistic_regression,8,"['age', 'education-num', 'fnlwgt', 'race', 'capital-gain', 'workclass', 'native-country', 'hours-per-week']",0.8186666666666667,0.6747644532281893,0.5125448028673835,0.808885469968398,0.8030014317720671,0.5525253694640276,0.07465129462111474,0.5284684048615664,0.13090049881858756,0.13090049881858756
adult,original,[],FairmRMR_lambda2.0,2.0,random_forest,8,"['age', 'education-num', 'fnlwgt', 'race', 'capital-gain', 'workclass', 'native-country', 'hours-per-week']",0.7953333333333333,0.6680698372941718,0.49754500818330605,0.8159677719183243,0.8030014317720671,0.5525253694640276,0.06787678943544459,0.645334890803279,0.04883171436072459,0.04883171436072459
adult,original,[],FairmRMR_lambda2.0,2.0,gradient_boosting,8,"['age', 'education-num', 'fnlwgt', 'race', 'capital-gain', 'workclass', 'native-country', 'hours-per-week']",0.8126666666666666,0.6775357356005831,0.5163511187607573,0.8347491414650374,0.8030014317720671,0.5525253694640276,0.07973317152232753,0.5452931132612407,0.13599369913363085,0.13599369913363085
adult,original,[],FairCFS_lambda2.0,2.0,logistic_regression,8,"['age', 'education', 'capital-gain', 'education-num', 'fnlwgt', 'native-country', 'workclass', 'race']",0.8046666666666666,0.642558385269399,0.448210922787194,0.7763100607578589,0.7115628992834111,0.5108244377200616,0.06256736580731183,0.5408659479728146,0.16177474402730374,0.16177474402730374
adult,original,[],FairCFS_lambda2.0,2.0,random_forest,8,"['age', 'education', 'capital-gain', 'education-num', 'fnlwgt', 'native-country', 'workclass', 'race']",0.7913333333333333,0.6721546047804009,0.5039619651347068,0.8028634953869033,0.7115628992834111,0.5108244377200616,0.031030187865771386,0.8387076693227091,0.02126542399579945,0.027343103364331267
adult,original,[],FairCFS_lambda2.0,2.0,gradient_boosting,8,"['age', 'education', 'capital-gain', 'education-num', 'fnlwgt', 'native-country', 'workclass', 'race']",0.812,0.6627156121280905,0.4891304347826087,0.821460194307742,0.7115628992834111,0.5108244377200616,0.05965716293144058,0.6004171234524988,0.1411919138881596,0.1411919138881596
adult,original,[],FairLasso_lambda2.0,2.0,logistic_regression,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.8266666666666667,0.7202888199669305,0.5873015873015873,0.8560266219217486,0.8161718858501725,0.8177989445025509,0.17074787024247698,0.2840068298235629,0.2366500393804148,0.2366500393804148
adult,original,[],FairLasso_lambda2.0,2.0,random_forest,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.8046666666666666,0.7039228443679129,0.5553869499241275,0.8321185022845345,0.8161718858501725,0.8177989445025509,0.154895448267052,0.38656485170429394,0.09824100813861902,0.09824100813861902
adult,original,[],FairLasso_lambda2.0,2.0,gradient_boosting,8,"['education', 'relationship', 'marital-status', 'workclass', 'occupation', 'native-country', 'race', 'education-num']",0.826,0.7227274506158949,0.5902668759811617,0.8609552485593246,0.8161718858501725,0.8177989445025509,0.1687797906570112,0.3039577228276975,0.17169860855867675,0.17169860855867675
adult,original,[],BasicFACMIM_lambda2.0,2.0,logistic_regression,8,"['age', 'education', 'capital-gain', 'native-country', 'fnlwgt', 'capital-loss', 'education-num', 'race']",0.7966666666666666,0.6248397890596719,0.41005802707930367,0.7779782113121154,0.6434102247236968,0.5097924933532404,0.060515453217191345,0.5206791880098653,0.09860855867681806,0.09860855867681806
adult,original,[],BasicFACMIM_lambda2.0,2.0,random_forest,8,"['age', 'education', 'capital-gain', 'native-country', 'fnlwgt', 'capital-loss', 'education-num', 'race']",0.7946666666666666,0.6791378450038646,0.5157232704402516,0.8102552123589899,0.6434102247236968,0.5097924933532404,0.027058100264273577,0.8608042058569844,0.06059333158309266,0.06059333158309266
adult,original,[],BasicFACMIM_lambda2.0,2.0,gradient_boosting,8,"['age', 'education', 'capital-gain', 'native-country', 'fnlwgt', 'capital-loss', 'education-num', 'race']",0.8246666666666667,0.6691167118355527,0.502835538752363,0.8304295609975638,0.6434102247236968,0.5097924933532404,0.05457528603022778,0.5873777616805506,0.02158046731425567,0.02158046731425567
adult,original,[],SubsetFACMIM_lambda2.0,2.0,logistic_regression,8,"['age', 'education-num', 'education', 'race', 'native-country', 'capital-loss', 'capital-gain', 'workclass']",0.8093333333333333,0.6475408232151767,0.4583333333333333,0.7866100343413985,0.551601706813253,0.5108124615765395,0.053573282022211746,0.5918615613880357,0.09341034392228931,0.09341034392228931
adult,original,[],SubsetFACMIM_lambda2.0,2.0,random_forest,8,"['age', 'education-num', 'education', 'race', 'native-country', 'capital-loss', 'capital-gain', 'workclass']",0.788,0.6757183809644943,0.5092592592592593,0.7964795174593235,0.551601706813253,0.5108124615765395,0.05105829188256991,0.7573515461961677,0.0744027303754266,0.0744027303754266
