dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
COMPAS,FairmRMR_k5_lambda0.0,gradient_boosting,0.65,0.6448033254148291,0.6007604562737643,0.6916102525294892,0.14017869167292374,0.6983624779182629,0.16111140597632828,0.16111140597632828,0.030165699382606263,0.3914698918879308,0.6192535388736484,5,0.0|0.5|1.0|2.0,0.8717060089111328,5,c_charge_desc|juv_fel_count|juv_misd_count|juv_other_count|priors_count
COMPAS,FairCFS_k5_lambda0.0,logistic_regression,0.6513333333333333,0.6490778898822219,0.6223826714801444,0.7080053043864706,0.19366074409972495,0.6366826796616505,0.21553173044601315,0.21553173044601315,0.0347603430006853,0.5164021200862973,0.64602684987206,5,0.0|0.5|1.0|2.0,3.2741215229034424,5,c_charge_desc|priors_count|age|juv_fel_count|juv_misd_count
COMPAS,FairCFS_k5_lambda0.0,random_forest,0.65,0.6484942645875089,0.6258018531717747,0.6987538618325121,0.15293763870927268,0.71064976405216,0.12121614210144538,0.12798259121161604,0.0347603430006853,0.5164021200862973,0.64602684987206,5,0.0|0.5|1.0|2.0,3.2741215229034424,5,c_charge_desc|priors_count|age|juv_fel_count|juv_misd_count
COMPAS,FairCFS_k5_lambda0.0,gradient_boosting,0.676,0.6714510852396345,0.6340361445783133,0.7339900159024506,0.20177990631877812,0.595079873387261,0.2370362507297914,0.2370362507297914,0.0347603430006853,0.5164021200862973,0.64602684987206,5,0.0|0.5|1.0|2.0,3.2741215229034424,5,c_charge_desc|priors_count|age|juv_fel_count|juv_misd_count
COMPAS,FairLasso_k5_lambda0.0,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,1.675980806350708,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,FairLasso_k5_lambda0.0,random_forest,0.64,0.6378257012873667,0.6109510086455331,0.6953333178651807,0.18871840472575463,0.6459547575208007,0.1752383985280328,0.1752383985280328,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,1.675980806350708,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,FairLasso_k5_lambda0.0,gradient_boosting,0.6806666666666666,0.6759264382258505,0.6379440665154951,0.7361451460044869,0.20448260403541363,0.587803689833805,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,1.675980806350708,5,c_charge_desc|priors_count|age|age_cat|c_charge_degree
COMPAS,BasicFACMIM_k5_lambda0.0,logistic_regression,0.6633333333333333,0.6626351306731681,0.6446164672765659,0.7142520583054163,0.2146034229251491,0.6205131551046373,0.23769085151177405,0.23769085151177405,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,13.691190004348755,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,BasicFACMIM_k5_lambda0.0,random_forest,0.6473333333333333,0.6450621195057569,0.6180505415162455,0.6986887171130717,0.1908934768130674,0.6411202635914333,0.17161155635758896,0.17161155635758896,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,13.691190004348755,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
COMPAS,BasicFACMIM_k5_lambda0.0,gradient_boosting,0.68,0.6752990856537049,0.6374622356495468,0.7360630458101237,0.20283515757742354,0.5911246146351259,0.2330201864727633,0.2330201864727633,0.03848845002234687,0.3884508583100029,0.6488586867287396,5,0.0|0.5|1.0|2.0,13.691190004348755,5,c_charge_desc|priors_count|age|c_charge_degree|age_cat
