dataset,model,selector,selector_family,selector_lambda,method_label,accuracy_mean,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,f1_mean,f1_std,f1_count,auroc_mean,auroc_std,auroc_count,dpd_mean,dpd_std,dpd_count,dpr_mean,dpr_std,dpr_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_count,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_count,joint_subset_mi_sensitive_mean,joint_subset_mi_sensitive_std,joint_subset_mi_sensitive_count,sensitive_attacker_balanced_accuracy_mean,sensitive_attacker_balanced_accuracy_std,sensitive_attacker_balanced_accuracy_count
Adult,random_forest,BasicFACMIM_k8_lambda0.0,Basic FA-CMIM,0.0,"Basic FA-CMIM, lambda=0",0.7464000000000001,0.002521022720158551,5,0.7829592140705777,0.006600954696016527,5,0.6230807103038267,0.00861333323457544,5,0.8762233652293843,0.004584286764432085,5,0.4392425134849642,0.01107193098089209,5,0.22666435465292686,0.022804090563077316,5,0.26907278165893517,0.07258829664764124,5,0.371246400819697,0.010818297448626895,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,random_forest,BasicFACMIM_k8_lambda0.5,Basic FA-CMIM,0.5,"Basic FA-CMIM, lambda=0.5",0.76,0.00788810637746611,5,0.7999671385815242,0.006175650275395294,5,0.6423324430639589,0.010994658115116964,5,0.8931381678072358,0.002717177516668467,5,0.4217958937576773,0.027370775025362098,5,0.24754552935869226,0.04570421858412117,5,0.2425882620523943,0.06768554106346857,5,0.33767464171976636,0.017602558672448972,5,0.4896517078869934,0.03201532298349022,5,0.734137808702074,0.013626006446988437,5
Adult,random_forest,BasicFACMIM_k8_lambda1.0,Basic FA-CMIM,1.0,"Basic FA-CMIM, lambda=1",0.7804,0.013446189051177336,5,0.7342154089173746,0.019054173917255966,5,0.5896660006617965,0.02986025803916761,5,0.8282676203873812,0.012323435495043306,5,0.08739681803576482,0.016675416670470188,5,0.7252298267165505,0.05262947777657812,5,0.05123862015388647,0.03444227906823869,5,0.0528618432422735,0.031570759933719834,5,0.26302378698133405,0.010254962810042801,5,0.5563447146969207,0.01995987256498904,5
Adult,random_forest,BasicFACMIM_k8_lambda2.0,Basic FA-CMIM,2.0,"Basic FA-CMIM, lambda=2",0.7805333333333333,0.01316898713729432,5,0.7352117403618819,0.018931824434771396,5,0.5908097510170027,0.029529914158176573,5,0.8291148470486165,0.012188764540628358,5,0.08977011110299171,0.019372965935181344,5,0.7193530720255655,0.06186413103091186,5,0.046598462764050885,0.040474659949560204,5,0.05247874873670992,0.03439772075482191,5,0.26302378698133405,0.010254962810042791,5,0.555224011296087,0.019931858481602668,5
Adult,random_forest,CMIM_k8,CMIM,,CMIM,0.7464000000000001,0.002521022720158551,5,0.7829592140705777,0.006600954696016527,5,0.6230807103038267,0.00861333323457544,5,0.8762233652293843,0.004584286764432085,5,0.4392425134849642,0.01107193098089209,5,0.22666435465292686,0.022804090563077316,5,0.26907278165893517,0.07258829664764124,5,0.371246400819697,0.010818297448626895,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,random_forest,FairCFS_k8_lambda0.0,FairCFS-style,0.0,"FairCFS-style, lambda=0",0.758,0.014243907079480988,5,0.7951171239398948,0.014166101566805875,5,0.6376982252430279,0.022033970113917722,5,0.8884524768645996,0.014578737845214842,5,0.42276336870044356,0.020781872079449714,5,0.24239725510579463,0.02472171184616606,5,0.23076938817865722,0.053807535100131525,5,0.34268567210983736,0.022072330899986285,5,0.5874491960194538,0.014015355667920233,5,0.8534660796469064,0.017122139503806862,5
Adult,random_forest,FairCFS_k8_lambda0.5,FairCFS-style,0.5,"FairCFS-style, lambda=0.5",0.7617333333333334,0.00615719994081001,5,0.8018080192691824,0.006293447350810032,5,0.6444570425174156,0.011035349618306371,5,0.8971237739956065,0.006512318365010325,5,0.4307619812751122,0.019913648670594405,5,0.23456119257793998,0.02684768368359464,5,0.23040161927020933,0.04953604239444051,5,0.3491120799249275,0.01768351339494638,5,0.57520541665271,0.009345854998352984,5,0.8565622147159075,0.015687790052225235,5
Adult,random_forest,FairCFS_k8_lambda1.0,FairCFS-style,1.0,"FairCFS-style, lambda=1",0.7792,0.018387193611013316,5,0.8125530334722619,0.014140047316796535,5,0.6613839169641295,0.02375784472930261,5,0.9000053728973499,0.010013848743417026,5,0.3906787966324285,0.03003775675900386,5,0.2649921754273124,0.03459691512785914,5,0.2224108279279517,0.07429078375459137,5,0.3002850321829757,0.025725180577328113,5,0.43841764916420833,0.058411071570715734,5,0.7608909404892514,0.027995913419618098,5
Adult,random_forest,FairCFS_k8_lambda2.0,FairCFS-style,2.0,"FairCFS-style, lambda=2",0.7754666666666667,0.015630454603469207,5,0.7965397217276141,0.042021032916368765,5,0.6447852572058492,0.04603463971385616,5,0.8844150049720259,0.030276085835901457,5,0.33602017927060857,0.10372277395922523,5,0.34040966177550225,0.13599734111590822,5,0.1510044735482146,0.06965922115830166,5,0.25061285764757707,0.10241486899853326,5,0.3788305176438759,0.08450442390904846,5,0.7070344614840376,0.04794577799977671,5
Adult,random_forest,FairLasso_k8_lambda0.0,FairLasso-style,0.0,"FairLasso-style, lambda=0",0.7576,0.01084845099029759,5,0.7902931204903736,0.011154103857904808,5,0.6336239511070161,0.013287074532213849,5,0.8785466420713031,0.0024840960073258178,5,0.408796429957304,0.02124664912576816,5,0.2524061149398524,0.036639454604569285,5,0.21283742067174974,0.05270353167506133,5,0.32989986578243435,0.014468541508777319,5,0.576445714221397,0.006429204743589139,5,0.8556399449843237,0.014223448455443159,5
