dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
ACSIncome,BasicFACMIM_k5_lambda0.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.294692039489746,5,education|hours-per-week|relationship|occupation|age
ACSIncome,SubsetFACMIM_k5_lambda0.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.029559373855591,5,education|hours-per-week|relationship|occupation|age
ACSIncome,SubsetFACMIM_k5_lambda0.0,random_forest,0.7973333333333333,0.7874381734675853,0.7470881863560732,0.8733604928457868,0.08961342209124312,0.7934121950109437,0.003306404881208036,0.030710386948846452,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.029559373855591,5,education|hours-per-week|relationship|occupation|age
ACSIncome,SubsetFACMIM_k5_lambda0.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.029559373855591,5,education|hours-per-week|relationship|occupation|age
ACSIncome,ProxyRank_k5_lambda0.5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2634775638580322,5,education|relationship|hours-per-week|occupation|age
ACSIncome,ProxyRank_k5_lambda0.5,random_forest,0.794,0.7825914149443561,0.7405541561712846,0.8731277233115468,0.08701637378829835,0.795387212492087,0.00317005828816852,0.028427652537386133,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2634775638580322,5,education|relationship|hours-per-week|occupation|age
ACSIncome,ProxyRank_k5_lambda0.5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808919213330979,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2634775638580322,5,education|relationship|hours-per-week|occupation|age
ACSIncome,FairmRMR_k5_lambda0.5,logistic_regression,0.762,0.769022699169758,0.7345724907063197,0.8378967202496613,0.05068641404523927,0.9009146822821095,0.06633261751371988,0.06633261751371988,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8759670257568359,5,education|hours-per-week|relationship|class-worker|age
ACSIncome,FairmRMR_k5_lambda0.5,random_forest,0.7633333333333333,0.749580462815757,0.6994072819644369,0.8402207354413237,0.03986747336096097,0.8996607627643093,0.0355523741350513,0.0355523741350513,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8759670257568359,5,education|hours-per-week|relationship|class-worker|age
ACSIncome,FairmRMR_k5_lambda0.5,gradient_boosting,0.784,0.7733836777954425,0.73,0.8670039524818937,0.044108541183945305,0.8929164324649351,0.06033336741998163,0.06033336741998163,0.007326352504716571,0.45703168183253984,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8759670257568359,5,education|hours-per-week|relationship|class-worker|age
ACSIncome,FairCFS_k5_lambda0.5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.384566068649292,5,education|hours-per-week|relationship|occupation|age
ACSIncome,FairCFS_k5_lambda0.5,random_forest,0.7973333333333333,0.7874381734675853,0.7470881863560732,0.8733604928457868,0.08961342209124312,0.7934121950109437,0.003306404881208036,0.030710386948846452,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.384566068649292,5,education|hours-per-week|relationship|occupation|age
ACSIncome,FairCFS_k5_lambda0.5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.384566068649292,5,education|hours-per-week|relationship|occupation|age
ACSIncome,FairLasso_k5_lambda0.5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.7082383632659912,5,hours-per-week|education|occupation|age|relationship
ACSIncome,FairLasso_k5_lambda0.5,random_forest,0.7926666666666666,0.78146528881823,0.7393126571668064,0.8735030986869221,0.08675433574252789,0.796584563201993,0.010737294201861203,0.03745713532049591,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.7082383632659912,5,hours-per-week|education|occupation|age|relationship
ACSIncome,FairLasso_k5_lambda0.5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808624801271859,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.7082383632659912,5,hours-per-week|education|occupation|age|relationship
ACSIncome,BasicFACMIM_k5_lambda0.5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.2898073196411133,5,education|hours-per-week|relationship|age|occupation
ACSIncome,BasicFACMIM_k5_lambda0.5,random_forest,0.792,0.782171877760113,0.7408637873754153,0.8727127863157275,0.08396704063922922,0.8058851841402088,0.0023860653781913044,0.02400422052228965,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.2898073196411133,5,education|hours-per-week|relationship|age|occupation
ACSIncome,BasicFACMIM_k5_lambda0.5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.2898073196411133,5,education|hours-per-week|relationship|age|occupation
ACSIncome,SubsetFACMIM_k5_lambda0.5,logistic_regression,0.762,0.769022699169758,0.7345724907063197,0.8378967202496613,0.05068641404523927,0.9009146822821095,0.06633261751371988,0.06633261751371988,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.6042141914367676,5,education|hours-per-week|relationship|age|class-worker
ACSIncome,SubsetFACMIM_k5_lambda0.5,random_forest,0.7633333333333333,0.7490726020137785,0.6983857264231096,0.8409595257021727,0.03769937774938037,0.9042389262724073,0.040801717967072326,0.040801717967072326,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.6042141914367676,5,education|hours-per-week|relationship|age|class-worker
ACSIncome,SubsetFACMIM_k5_lambda0.5,gradient_boosting,0.784,0.7733836777954425,0.73,0.8670131528587411,0.044108541183945305,0.8929164324649351,0.06033336741998163,0.06033336741998163,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,2.6042141914367676,5,education|hours-per-week|relationship|age|class-worker
ACSIncome,ProxyRank_k5_lambda1.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2806699275970459,5,education|relationship|age|hours-per-week|occupation
ACSIncome,ProxyRank_k5_lambda1.0,random_forest,0.8013333333333333,0.7908165518459636,0.7508361204013378,0.8746899473002416,0.07963084941606796,0.8127537455159316,0.0036472713638067145,0.01713572631536231,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2806699275970459,5,education|relationship|age|hours-per-week|occupation
ACSIncome,ProxyRank_k5_lambda1.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808919213330979,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.2806699275970459,5,education|relationship|age|hours-per-week|occupation
ACSIncome,FairmRMR_k5_lambda1.0,logistic_regression,0.762,0.769022699169758,0.7345724907063197,0.8378967202496613,0.05068641404523927,0.9009146822821095,0.06633261751371988,0.06633261751371988,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,1.6358835697174072,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairmRMR_k5_lambda1.0,random_forest,0.7606666666666667,0.746566419360537,0.6955046649703138,0.8383696196196198,0.04551385481297482,0.8857990777101272,0.03647271363806792,0.03647271363806792,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,1.6358835697174072,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairmRMR_k5_lambda1.0,gradient_boosting,0.784,0.7733836777954425,0.73,0.8670002723311547,0.044108541183945305,0.8929164324649351,0.06033336741998163,0.06033336741998163,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,1.6358835697174072,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairCFS_k5_lambda1.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.4487364292144775,5,education|relationship|hours-per-week|occupation|age
ACSIncome,FairCFS_k5_lambda1.0,random_forest,0.794,0.7825914149443561,0.7405541561712846,0.8731277233115468,0.08701637378829835,0.795387212492087,0.00317005828816852,0.028427652537386133,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.4487364292144775,5,education|relationship|hours-per-week|occupation|age
ACSIncome,FairCFS_k5_lambda1.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808919213330979,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,3.4487364292144775,5,education|relationship|hours-per-week|occupation|age
ACSIncome,FairLasso_k5_lambda1.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.42339444160461426,5,hours-per-week|education|occupation|age|relationship
ACSIncome,FairLasso_k5_lambda1.0,random_forest,0.7926666666666666,0.78146528881823,0.7393126571668064,0.8735030986869221,0.08675433574252789,0.796584563201993,0.010737294201861203,0.03745713532049591,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.42339444160461426,5,hours-per-week|education|occupation|age|relationship
