selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
BasicFACMIM_k8_lambda2.0,gradient_boosting,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7383725599732995,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,1.6165454387664795,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
SubsetFACMIM_k8_lambda2.0,gradient_boosting,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6813333333333333,0.6768054457415879,0.6400602409638554,0.7383725599732995,0.2073144408920931,0.5858349089113217,,,0.2520655308458503,,,,,,0.2520655308458503,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,SubsetFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,3.195659637451172,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,True
ProxyRank_k8_lambda0.5,logistic_regression,8,,,priors_count|c_charge_desc|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,0.5,0.0|0.5|1.0|2.0,0.4486849308013916,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairCFS_k8_lambda0.5,logistic_regression,8,,,priors_count|c_charge_desc|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,FairCFS-style,8.0,0.5,0.0|0.5|1.0|2.0,5.357962608337402,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
BasicFACMIM_k8_lambda0.5,logistic_regression,8,,,priors_count|c_charge_desc|age|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age_cat,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,0.5,0.0|0.5|1.0|2.0,13.562366485595703,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
ProxyRank_k8_lambda1.0,logistic_regression,8,,,priors_count|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age|age_cat|c_charge_desc,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,1.0,0.0|0.5|1.0|2.0,0.2791562080383301,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
BasicFACMIM_k8_lambda1.0,logistic_regression,8,,,priors_count|c_charge_desc|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,1.0,0.0|0.5|1.0|2.0,13.477242708206177,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
ProxyRank_k8_lambda2.0,logistic_regression,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,2.0,0.0|0.5|1.0|2.0,0.2691254615783691,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairmRMR_k8_lambda2.0,logistic_regression,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,fair-mRMR,8.0,2.0,0.0|0.5|1.0|2.0,1.2474520206451416,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairLasso_k8_lambda2.0,logistic_regression,8,,,c_charge_desc|priors_count|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count|age|age_cat,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,FairLasso-style,8.0,2.0,0.0|0.5|1.0|2.0,1.6375949382781982,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
BasicFACMIM_k8_lambda2.0,logistic_regression,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,BasicFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,1.6165454387664795,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
SubsetFACMIM_k8_lambda2.0,logistic_regression,8,,,priors_count|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|age|c_charge_desc,,0.6673333333333333,0.6658959362188577,0.6443335709194583,0.7143734238101273,0.2055157171557657,0.6262209054580472,,,0.2306936999097712,,,,,,0.2306936999097712,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,SubsetFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,3.195659637451172,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
ProxyRank_k8_lambda0.5,random_forest,8,,,priors_count|c_charge_desc|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,,0.646,0.6438074143614657,0.6171593366979091,0.695537675957672,0.1848313166104296,0.6517840385377348,,,0.1591741414999203,,,,,,0.1591741414999203,,0.0258934080436636,,0.5445003816101088,0.6532411156883762,,,compas,COMPAS,ProxyRank,8.0,0.5,0.0|0.5|1.0|2.0,0.4486849308013916,8.0,0.6666666666666713,1.0,1.0,0.5218619503807389,0.0,0.7435903475685979,0.8333333333333357,0.8333333333333357,0.5942643085237052,True
