selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
ProxyRank_k8_lambda2.0,gradient_boosting,8,,,education|relationship|age|hours-per-week|marital-status|birthplace|class-worker|occupation,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809112421244776,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,2.0,0.0|0.5|1.0|2.0,0.443016767501831,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
FairmRMR_k8_lambda2.0,gradient_boosting,8,,,education|relationship|hours-per-week|class-worker|age|birthplace|marital-status|occupation,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809370031796503,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,2.0,0.0|0.5|1.0|2.0,1.2902936935424805,8.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75,1.0,0.5,False
FairCFS_k8_lambda2.0,gradient_boosting,8,,,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809370031796503,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,2.0,0.0|0.5|1.0|2.0,5.8235924243927,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,True
FairLasso_k8_lambda2.0,gradient_boosting,8,,,hours-per-week|education|age|occupation|relationship|birthplace|marital-status|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8808449994111759,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,2.0,0.0|0.5|1.0|2.0,0.6591246128082275,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
BasicFACMIM_k8_lambda2.0,gradient_boosting,8,,,education|age|hours-per-week|relationship|birthplace|class-worker|marital-status|occupation,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809020417476301,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,2.003150224685669,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
SubsetFACMIM_k8_lambda2.0,gradient_boosting,8,,,education|relationship|hours-per-week|class-worker|birthplace|marital-status|age|occupation,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809480436318672,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917106,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,2.0,0.0|0.5|1.0|2.0,3.60852575302124,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,False
CMIM_k8,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,CMIM,8.0,,0.0|0.5|1.0|2.0,3.0379228591918945,8.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,False
mRMR_k8,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
ProxyRank_k8_lambda0.0,logistic_regression,8,,,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917106,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,0.0,0.0|0.5|1.0|2.0,0.2603132724761963,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,False
FairmRMR_k8_lambda0.0,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
